"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2001","45.70","45.24","46.27","42.38","106.42M","0.99%"
"06/01/2001","45.25","48.25","49.20","43.97","103.07M","-5.77%"
"05/01/2001","48.02","47.85","49.24","45.34","97.63M","-0.54%"
"04/01/2001","48.28","43.90","48.97","42.30","105.18M","9.98%"
"03/01/2001","43.90","42.83","46.73","42.66","117.89M","2.50%"
"02/01/2001","42.83","41.64","43.74","40.78","82.20M","2.86%"
"01/01/2001","41.64","42.59","43.47","39.22","95.91M","-1.37%"
"12/01/2000","42.22","41.22","43.47","39.09","80.57M","3.13%"
"11/01/2000","40.94","41.38","43.00","40.16","65.69M","-0.29%"
"10/01/2000","41.06","43.09","44.47","39.25","107.29M","-3.66%"
"09/01/2000","42.62","42.34","46.16","40.78","76.00M","0.85%"
"08/01/2000","42.26","39.25","44.84","38.81","63.14M","7.01%"
"07/01/2000","39.49","42.44","43.78","38.44","66.88M","-6.89%"
"06/01/2000","42.41","46.22","47.34","42.28","71.22M","-8.24%"
"05/01/2000","46.22","42.75","47.44","42.75","61.39M","8.60%"
"04/01/2000","42.56","46.31","46.88","41.16","62.92M","-7.92%"
"03/01/2000","46.22","37.28","47.12","36.31","102.36M","23.78%"
"02/01/2000","37.34","41.69","42.22","34.97","85.92M","-10.69%"
"01/01/2000","41.81","42.94","45.44","40.38","75.38M","-3.46%"
"12/01/1999","43.31","44.38","46.38","41.97","55.31M","-2.19%"
"11/01/1999","44.28","45.28","48.47","42.75","60.34M","-3.02%"
"10/01/1999","45.66","44.41","47.19","41.69","62.49M","2.88%"
"09/01/1999","44.38","46.38","49.06","42.78","49.91M","-3.86%"
"08/01/1999","46.16","45.66","48.84","45.47","54.49M","1.18%"
"07/01/1999","45.62","48.25","50.41","45.59","43.66M","-4.02%"
"06/01/1999","47.53","46.16","48.62","44.59","58.59M","2.77%"
"05/01/1999","46.25","49.88","51.38","45.47","53.54M","-7.28%"
"04/01/1999","49.88","44.16","52.47","43.19","71.18M","12.39%"
"03/01/1999","44.38","38.38","45.16","37.66","73.50M","15.45%"
"02/01/1999","38.44","37.53","40.97","36.56","55.89M","3.19%"
"01/01/1999","37.25","41.53","42.25","36.69","47.13M","-10.18%"
"12/01/1998","41.47","41.88","44.12","39.53","57.46M","-0.81%"
"11/01/1998","41.81","40.75","42.81","39.19","59.38M","2.60%"
"10/01/1998","40.75","42.00","44.72","39.22","77.53M","-3.05%"
"09/01/1998","42.03","36.91","44.50","36.50","67.98M","13.50%"
"08/01/1998","37.03","41.31","41.31","37.03","66.65M","-10.36%"
"07/01/1998","41.31","42.00","43.16","40.00","56.84M","-1.36%"
"06/01/1998","41.88","39.94","42.62","38.78","51.55M","4.86%"
"05/01/1998","39.94","41.75","43.41","38.69","48.33M","-3.39%"
"04/01/1998","41.34","40.69","42.81","39.25","59.86M","2.94%"
"03/01/1998","40.16","40.56","45.09","40.09","72.67M","-0.69%"
"02/01/1998","40.44","37.50","41.41","37.41","55.06M","8.19%"
"01/01/1998","37.38","38.25","39.16","33.88","67.13M","-2.91%"
"12/01/1997","38.50","39.66","40.09","35.75","56.46M","-3.97%"
"11/01/1997","40.09","42.09","43.41","39.78","37.42M","-3.33%"
"10/01/1997","41.47","41.59","44.44","38.41","56.00M","-0.14%"
"09/01/1997","41.53","38.75","44.59","38.75","57.53M","7.26%"
"08/01/1997","38.72","39.38","41.00","37.84","45.60M","-1.97%"
"07/01/1997","39.50","37.19","40.06","36.75","43.50M","6.84%"
"06/01/1997","36.97","35.12","38.62","34.75","48.93M","5.63%"
"05/01/1997","35.00","34.19","36.50","33.38","46.80M","2.19%"
"04/01/1997","34.25","34.75","34.75","30.88","52.05M","-1.61%"
"03/01/1997","34.81","31.94","36.38","31.75","54.86M","7.94%"
"02/01/1997","32.25","33.06","34.62","32.19","48.10M","-2.83%"
"01/01/1997","33.19","32.62","34.75","31.94","58.79M","2.12%"
